Windows 2012R2 Features list
#
Display Name                                                               Name
        [ ] Volume Activation Tools                                        RSAT-VA-Tools
        [ ] Windows Deployment Services Tools                              WDS-AdminPack
[ ] RPC over HTTP Proxy                                                    RPC-over-HTTP-Proxy
[X] Simple TCP/IP Services                                                 Simple-TCPIP
[X] SMB 1.0/CIFS File Sharing Support                                      FS-SMB1
[ ] SMB Bandwidth Limit                                                    FS-SMBBW
[ ] SMTP Server                                                            SMTP-Server
[X] SNMP Service                                                           SNMP-Service
    [X] SNMP WMI Provider                                                  SNMP-WMI-Provider
[X] Telnet Client                                                          Telnet-Client
[ ] Telnet Server                                                          Telnet-Server
[X] TFTP Client                                                            TFTP-Client
[X] User Interfaces and Infrastructure                                     User-Interfaces-Infra
    [X] Graphical Management Tools and Infrastructure                      Server-Gui-Mgmt-Infra
    [X] Desktop Experience                                                 Desktop-Experience
    [X] Server Graphical Shell                                             Server-Gui-Shell
[ ] Windows Biometric Framework                                            Biometric-Framework
[ ] Windows Feedback Forwarder                                             WFF
[ ] Windows Identity Foundation 3.5                                        Windows-Identity-Foundation
[ ] Windows Internal Database                                              Windows-Internal-Database
[X] Windows PowerShell                                                     PowerShellRoot
    [X] Windows PowerShell 4.0                                             PowerShell
    [X] Windows PowerShell 2.0 Engine                                      PowerShell-V2
    [ ] Windows PowerShell Desired State Configuration Service             DSC-Service
    [X] Windows PowerShell ISE                                             PowerShell-ISE
    [ ] Windows PowerShell Web Access                                      WindowsPowerShellWebAccess
[X] Windows Process Activation Service                                     WAS
    [X] Process Model                                                      WAS-Process-Model
    [X] .NET Environment 3.5                                               WAS-NET-Environment
    [X] Configuration APIs                                                 WAS-Config-APIs
[ ] Windows Search Service                                                 Search-Service
[ ] Windows Server Backup                                                  Windows-Server-Backup
[ ] Windows Server Migration Tools                                         Migration
[ ] Windows Standards-Based Storage Management                             WindowsStorageManagementService
[X] Windows TIFF IFilter                                                   Windows-TIFF-IFilter
[ ] WinRM IIS Extension                                                    WinRM-IIS-Ext
[ ] WINS Server                                                            WINS
[ ] Wireless LAN Service                                                   Wireless-Networking
[X] WoW64 Support                                                          WoW64-Support
[X] XPS Viewer                                                             XPS-Viewer
